Product Name,(All),,,,,
,,,,,,
Row Labels,Sum of Sales,Sum of Quantity,Count of Order ID,Percentage of Sales,Sum of Profit,Percentage Of Profit
AA-10315,5563.56,30,11,0.24%,-362.8825,-0.13%
AA-10375,1056.39,41,15,0.05%,277.3824,0.10%
AA-10480,1790.512,36,12,0.08%,435.8274,0.15%
AA-10645,5086.935,64,18,0.22%,857.8033,0.30%
AB-10015,886.156,13,6,0.04%,129.3465,0.05%
AB-10060,7755.62,56,18,0.34%,2054.5885,0.72%
AB-10105,14473.571,73,20,0.63%,5444.8055,1.90%
AB-10150,966.71,37,12,0.04%,313.6597,0.11%
AB-10165,1113.838,48,14,0.05%,220.813,0.08%
AB-10255,914.532,39,14,0.04%,264.5675,0.09%
AB-10600,1515.862,38,8,0.07%,-274.9604,-0.10%
AC-10420,925.8,17,5,0.04%,-62.1342,-0.02%
AC-10450,5527.846,43,9,0.24%,1366.0098,0.48%
AC-10615,2537.686,59,18,0.11%,298.8273,0.10%
AC-10660,657.316,16,6,0.03%,-28.7004,-0.01%
AD-10180,6106.88,40,12,0.27%,1869.9294,0.65%
AF-10870,2052.908,51,16,0.09%,317.9712,0.11%
AF-10885,861.565,37,7,0.04%,-163.1175,-0.06%
AG-10270,2582.898,58,14,0.11%,732.7399,0.26%
AG-10300,367.548,16,5,0.02%,59.2884,0.02%
AG-10330,660.972,47,9,0.03%,-5.1371,0.00%
AG-10390,200.945,33,8,0.01%,69.2784,0.02%
AG-10495,2356.855,93,21,0.10%,295.6668,0.10%
AG-10525,1455.038,33,9,0.06%,-152.7613,-0.05%
AG-10675,3489.0396,54,15,0.15%,-246.4257,-0.09%
AG-10765,170.584,20,5,0.01%,-8.431,0.00%
AG-10900,4510.797,92,21,0.20%,343.6824,0.12%
AH-10030,1744.7,54,11,0.08%,365.2152,0.13%
AH-10075,3250.337,75,20,0.14%,281.189,0.10%
AH-10120,1735.514,65,16,0.08%,-2.3146,0.00%
AH-10195,1587.452,28,8,0.07%,-378.5509,-0.13%
AH-10210,4805.344,53,13,0.21%,1308.5546,0.46%
AH-10465,2495.3916,35,8,0.11%,-196.1201,-0.07%
AH-10585,738.504,17,5,0.03%,83.963,0.03%
AH-10690,7888.294,102,23,0.34%,1298.0166,0.45%
AI-10855,4375.786,72,18,0.19%,867.7271,0.30%
AJ-10780,4867.344,62,15,0.21%,150.713,0.05%
AJ-10795,4501.391,88,21,0.20%,1158.7064,0.40%
AJ-10945,1839.24,40,10,0.08%,521.1352,0.18%
AJ-10960,629.248,22,5,0.03%,60.4265,0.02%
AM-10360,814.012,48,12,0.04%,194.9878,0.07%
AM-10705,5664.022,81,22,0.25%,1085.7326,0.38%
AO-10810,161.28,2,1,0.01%,12.096,0.00%
AP-10720,1638.554,85,19,0.07%,285.7888,0.10%
AP-10915,3323.556,102,31,0.14%,579.3113,0.20%
AR-10345,1055.694,18,5,0.05%,-221.0544,-0.08%
AR-10405,2236.128,29,7,0.10%,-98.7646,-0.03%
AR-10510,264.864,33,7,0.01%,43.6695,0.02%
AR-10540,6608.448,33,9,0.29%,2884.6208,1.01%
AR-10570,88.15,6,2,0.00%,32.633,0.01%
AR-10825,4523.336,54,13,0.20%,494.8352,0.17%
AS-10045,3050.692,48,10,0.13%,-253.5746,-0.09%
AS-10090,3255.31,81,25,0.14%,64.5374,0.02%
AS-10135,58.82,9,3,0.00%,21.8496,0.01%
AS-10225,4260.784,41,13,0.19%,719.7751,0.25%
AS-10240,584.608,39,13,0.03%,33.7158,0.01%
AS-10285,3214.236,39,8,0.14%,354.6276,0.12%
AS-10630,833.398,34,12,0.04%,136.4919,0.05%
AT-10435,1171.814,28,9,0.05%,100.8768,0.04%
AT-10735,3831.864,60,16,0.17%,974.107,0.34%
AW-10840,649.376,24,8,0.03%,65.7725,0.02%
AW-10930,2852.968,68,16,0.12%,-104.5486,-0.04%
AY-10555,497.014,34,10,0.02%,103.3499,0.04%
AZ-10750,1622.018,40,12,0.07%,154.9503,0.05%
BB-10990,744.34,26,8,0.03%,11.5839,0.00%
BB-11545,6765.728,83,20,0.29%,1015.075,0.35%
BC-11125,2933.676,60,18,0.13%,251.5974,0.09%
BD-11320,5718.521,75,19,0.25%,1094.5037,0.38%
BD-11500,4411.243,49,10,0.19%,1142.1225,0.40%
BD-11560,320.54,11,4,0.01%,116.714,0.04%
BD-11605,3288.471,74,20,0.14%,634.8463,0.22%
BD-11620,1538.11,27,8,0.07%,206.7569,0.07%
BD-11635,582.646,19,5,0.03%,141.534,0.05%
BD-11725,1526.5,29,10,0.07%,333.9791,0.12%
BD-11770,658.466,21,10,0.03%,141.265,0.05%
BE-11335,4204.676,35,9,0.18%,1487.7739,0.52%
BE-11410,2261.438,19,5,0.10%,755.9151,0.26%
BE-11455,1727.652,40,13,0.08%,139.2008,0.05%
BF-10975,599.798,38,13,0.03%,227.4384,0.08%
BF-11005,1333.88,26,10,0.06%,-291.3811,-0.10%
BF-11020,2888.506,78,21,0.13%,302.02,0.11%
BF-11080,272.95,29,6,0.01%,110.9272,0.04%
BF-11170,5907.972,102,27,0.26%,1538.2127,0.54%
BF-11215,1585.162,48,8,0.07%,523.2133,0.18%
BF-11275,791.99,11,4,0.03%,25.8702,0.01%
BG-11035,2798.948,35,12,0.12%,-711.4274,-0.25%
BG-11695,1874.172,24,8,0.08%,107.5715,0.04%
BG-11740,1006.356,22,7,0.04%,119.3479,0.04%
BH-11710,6255.351,97,24,0.27%,802.7898,0.28%
BK-11260,659.138,58,16,0.03%,-63.7644,-0.02%
BM-11140,11789.63,64,16,0.51%,-1659.9581,-0.58%
BM-11575,808.162,22,10,0.04%,95.5816,0.03%
BM-11650,7294.185,95,29,0.32%,2199.2781,0.77%
BM-11785,1338.842,44,14,0.06%,137.7439,0.05%
BN-11470,265.296,15,6,0.01%,36.6131,0.01%
BN-11515,1459.344,79,17,0.06%,340.7054,0.12%
BO-11350,2682.728,43,12,0.12%,278.777,0.10%
BO-11425,130.83,7,2,0.01%,59.4522,0.02%
BP-11050,983.42,30,7,0.04%,209.783,0.07%
BP-11095,2442.044,70,20,0.11%,433.9751,0.15%
BP-11155,1697.861,32,11,0.07%,647.3847,0.23%
BP-11185,3675.861,69,18,0.16%,363.5991,0.13%
BP-11230,1181.49,14,6,0.05%,-197.2695,-0.07%
BP-11290,2475.157,51,16,0.11%,-319.0637,-0.11%
BS-11365,10501.653,39,9,0.46%,2616.0644,0.91%
BS-11380,3887.834,58,13,0.17%,-17.5322,-0.01%
BS-11590,2454.928,41,10,0.11%,381.7807,0.13%
BS-11665,3288.11,47,11,0.14%,238.7368,0.08%
BS-11755,2562.382,45,14,0.11%,-113.2984,-0.04%
BS-11800,949.43,22,8,0.04%,194.0516,0.07%
BT-11305,2567.656,33,9,0.11%,417.5918,0.15%
BT-11395,2186.613,38,10,0.10%,257.9163,0.09%
BT-11440,603.876,16,7,0.03%,-77.5256,-0.03%
BT-11485,415.196,11,3,0.02%,126.8694,0.04%
BT-11530,2684.492,44,10,0.12%,409.4983,0.14%
BT-11680,3196.752,88,20,0.14%,447.7484,0.16%
BV-11245,1523.273,49,14,0.07%,315.2214,0.11%
BW-11065,385.516,8,3,0.02%,-58.2866,-0.02%
BW-11110,4750.358,74,17,0.21%,921.2574,0.32%
BW-11200,1738.406,49,10,0.08%,246.9973,0.09%
CA-11965,3789.7228,29,10,0.16%,1143.3817,0.40%
CA-12055,1679.724,49,10,0.07%,211.2559,0.07%
CA-12265,2648.2872,65,17,0.12%,279.6183,0.10%
CA-12310,1421.954,25,11,0.06%,246.0218,0.09%
CA-12775,3041.566,72,17,0.13%,204.4895,0.07%
CB-12025,6076.139,122,26,0.26%,150.2089,0.05%
CB-12415,1949.2,44,12,0.08%,272.3883,0.10%
CB-12535,4246.4555,74,19,0.18%,1049.5601,0.37%
CC-12100,1770.945,46,13,0.08%,208.5912,0.07%
CC-12145,2471.65,31,11,0.11%,392.2825,0.14%
CC-12220,3913.418,81,22,0.17%,393.9618,0.14%
CC-12370,12129.072,34,11,0.53%,2177.0493,0.76%
CC-12430,2870.05,63,19,0.12%,424.6583,0.15%
CC-12475,1659.438,40,13,0.07%,154.851,0.05%
CC-12550,113.832,14,4,0.00%,33.8706,0.01%
CC-12610,2540.631,39,12,0.11%,331.434,0.12%
CC-12670,2269.7015,47,14,0.10%,187.8399,0.07%
CC-12685,2854.115,51,12,0.12%,850.1591,0.30%
CD-11920,2033.968,35,9,0.09%,426.661,0.15%
CD-11980,639.766,22,6,0.03%,-206.7172,-0.07%
CD-12280,1205.584,39,13,0.05%,233.0274,0.08%
CD-12790,1860.732,49,15,0.08%,403.8422,0.14%
CG-12040,904.468,37,9,0.04%,86.5106,0.03%
CG-12520,1148.78,14,5,0.05%,169.9344,0.06%
CH-12070,1537.236,13,4,0.07%,195.1511,0.07%
CJ-11875,16.52,5,1,0.00%,1.652,0.00%
CJ-12010,11164.974,83,20,0.49%,858.7414,0.30%
CK-12205,3154.855,122,32,0.14%,141.2831,0.05%
CK-12325,2945.321,46,12,0.13%,261.2209,0.09%
CK-12595,2372.75,108,25,0.10%,497.7098,0.17%
CK-12760,1582.109,64,14,0.07%,-338.4311,-0.12%
CL-11890,1262.014,24,7,0.05%,328.0847,0.11%
CL-12565,10880.546,106,28,0.47%,1933.7831,0.68%
CL-12700,2353.586,34,8,0.10%,229.0099,0.08%
CM-11815,1673.888,38,10,0.07%,214.463,0.07%
CM-11935,565.392,18,4,0.02%,-43.7324,-0.02%
CM-12115,1661.61,35,7,0.07%,409.0679,0.14%
CM-12160,2533.314,23,7,0.11%,-394.3686,-0.14%
CM-12190,1475.144,21,7,0.06%,91.2033,0.03%
CM-12235,2305.712,28,8,0.10%,365.0387,0.13%
CM-12385,8954.02,34,10,0.39%,3899.8904,1.36%
CM-12445,287.99,32,9,0.01%,64.4296,0.02%
CM-12655,6339.5576,42,10,0.28%,1572.4585,0.55%
CM-12715,3984.4524,57,13,0.17%,176.3108,0.06%
Co-12640,1300.076,30,8,0.06%,205.6282,0.07%
CP-12085,5402.254,57,14,0.24%,427.0258,0.15%
CP-12340,5888.275,59,15,0.26%,-1850.3029,-0.65%
CR-12580,2148.852,32,6,0.09%,74.4013,0.03%
CR-12625,475.9,14,4,0.02%,144.7594,0.05%
CR-12730,1600.55,18,6,0.07%,306.9176,0.11%
CR-12820,1397.8724,26,7,0.06%,83.2703,0.03%
CS-11845,1278.954,22,8,0.06%,185.3776,0.06%
CS-11860,537.632,16,7,0.02%,105.8275,0.04%
CS-11950,3036.547,68,22,0.13%,-126.4223,-0.04%
CS-12130,884.64,28,7,0.04%,143.8339,0.05%
CS-12175,844.458,30,8,0.04%,113.1405,0.04%
CS-12250,2754.216,97,28,0.12%,738.3626,0.26%
CS-12355,3202.162,74,22,0.14%,831.9432,0.29%
CS-12400,3651.8585,47,14,0.16%,-342.8033,-0.12%
CS-12460,550.644,13,6,0.02%,156.2593,0.05%
CS-12490,1077.2285,33,9,0.05%,-302.8761,-0.11%
CS-12505,5690.055,40,9,0.25%,-6626.3895,-2.31%
CT-11995,3241.898,60,18,0.14%,161.2263,0.06%
CV-12295,2830.628,54,13,0.12%,493.0861,0.17%
CV-12805,2370.3136,62,19,0.10%,98.9975,0.03%
CW-11905,1136.592,40,11,0.05%,370.8298,0.13%
CY-12745,2900.026,43,11,0.13%,60.6467,0.02%
DA-13450,156.76,27,8,0.01%,56.7904,0.02%
DB-12910,2171.599,47,12,0.09%,431.3748,0.15%
DB-12970,2839.2272,43,14,0.12%,213.0029,0.07%
DB-13060,4531.646,48,13,0.20%,473.0272,0.17%
DB-13120,2973.094,59,14,0.13%,-1421.7692,-0.50%
DB-13210,2332.577,75,21,0.10%,169.9679,0.06%
DB-13270,4655.897,52,13,0.20%,841.8264,0.29%
DB-13360,1081.466,28,6,0.05%,291.0085,0.10%
DB-13405,1711.692,62,14,0.07%,438.9092,0.15%
DB-13555,3908.8028,61,14,0.17%,109.327,0.04%
DB-13615,1989.05,41,11,0.09%,438.8012,0.15%
DB-13660,1155.202,33,10,0.05%,177.6735,0.06%
DC-12850,3336.168,64,18,0.15%,-1441.6313,-0.50%
DC-13285,1174.618,37,7,0.05%,132.0682,0.05%
DD-13570,269.542,33,9,0.01%,36.4344,0.01%
DE-13255,2550.874,38,9,0.11%,464.4714,0.16%
DF-13135,2390.534,23,6,0.10%,-259.3097,-0.09%
DG-13300,3195.818,39,8,0.14%,562.7761,0.20%
DH-13075,4932.872,81,23,0.21%,1193.7404,0.42%
DH-13675,1043.096,41,11,0.05%,116.667,0.04%
DJ-13420,2012.52,20,5,0.09%,483.035,0.17%
DJ-13510,2501.688,52,13,0.11%,345.2521,0.12%
DJ-13630,3356.398,43,8,0.15%,731.5644,0.26%
DK-12835,3256.48,86,27,0.14%,881.1228,0.31%
DK-12895,4282.176,65,15,0.19%,937.6496,0.33%
DK-12985,1687.04,32,8,0.07%,-107.3538,-0.04%
DK-13090,2650.557,33,13,0.12%,536.3935,0.19%
DK-13150,797.832,20,5,0.03%,249.9447,0.09%
DK-13225,4802.394,70,19,0.21%,209.8994,0.07%
DK-13375,3318.486,77,23,0.14%,377.0799,0.13%
DL-12865,1503.112,51,14,0.07%,322.2449,0.11%
DL-12925,3272.2,43,14,0.14%,4.2132,0.00%
DL-13315,1458.258,74,17,0.06%,288.8732,0.10%
DL-13330,585.02,32,8,0.03%,222.6812,0.08%
DL-13495,3539.322,33,12,0.15%,-52.788,-0.02%
Dl-13600,755.602,19,6,0.03%,175.2388,0.06%
DM-12955,1322.034,28,9,0.06%,108.7583,0.04%
DM-13015,6345.103,87,20,0.28%,1677.3931,0.59%
DM-13345,4074.472,41,13,0.18%,1319.0586,0.46%
DM-13525,1376.792,33,10,0.06%,199.7688,0.07%
DN-13690,2139.79,41,11,0.09%,540.5405,0.19%
DO-13435,1300.0315,48,13,0.06%,-38.9086,-0.01%
DO-13645,1267.316,36,11,0.06%,294.0676,0.10%
DP-13000,1050.636,58,17,0.05%,241.4524,0.08%
DP-13105,2215.002,63,14,0.10%,563.1761,0.20%
DP-13165,1058.616,20,4,0.05%,-40.9376,-0.01%
Dp-13240,7198.761,99,29,0.31%,333.3648,0.12%
DP-13390,5480.724,50,14,0.24%,1571.8318,0.55%
DR-12880,6528.034,103,24,0.28%,1641.8613,0.57%
DR-12940,8350.868,57,13,0.36%,2869.076,1.00%
DS-13030,1762.213,54,19,0.08%,193.3319,0.07%
DS-13180,2881.8128,68,20,0.13%,163.6993,0.06%
DV-13045,1119.483,28,9,0.05%,-427.184,-0.15%
DV-13465,3341.587,62,15,0.15%,353.2127,0.12%
DW-13195,1080.751,39,9,0.05%,-86.8738,-0.03%
DW-13480,5271.628,38,11,0.23%,1348.7556,0.47%
DW-13540,344.08,21,9,0.01%,69.6672,0.02%
DW-13585,1204.854,44,10,0.05%,-266.8966,-0.09%
EA-14035,2846.705,87,25,0.12%,-52.7406,-0.02%
EB-13705,3644.978,55,12,0.16%,13.6215,0.00%
EB-13750,3236.314,91,20,0.14%,-80.286,-0.03%
EB-13840,4358.128,41,8,0.19%,656.1988,0.23%
EB-13870,2767.219,41,11,0.12%,261.5315,0.09%
EB-13930,944.6,24,7,0.04%,0.6042,0.00%
EB-13975,1643.255,18,6,0.07%,162.8781,0.06%
EB-14110,3071.126,30,11,0.13%,184.7656,0.06%
EB-14170,1186.326,20,7,0.05%,282.1701,0.10%
EC-14050,461.914,37,7,0.02%,96.4256,0.03%
ED-13885,3484.92,54,14,0.15%,670.4435,0.23%
EG-13900,1832.02,44,9,0.08%,104.2656,0.04%
EH-13765,10310.88,120,32,0.45%,1393.5154,0.49%
EH-13945,684.171,72,17,0.03%,53.5398,0.02%
EH-13990,825.95,20,8,0.04%,150.3759,0.05%
EH-14005,1219.53,50,11,0.05%,-94.1408,-0.03%
EH-14125,3082.653,76,18,0.13%,96.2702,0.03%
EH-14185,923.884,22,8,0.04%,242.1107,0.08%
EJ-13720,2162.174,31,8,0.09%,387.0176,0.14%
EJ-14155,2656.691,31,8,0.12%,451.8755,0.16%
EK-13795,1303.478,18,4,0.06%,97.1066,0.03%
EL-13735,124.28,9,2,0.01%,27.1154,0.01%
EM-13810,2567.01,23,7,0.11%,-133.8275,-0.05%
EM-13825,2339.598,57,16,0.10%,682.5542,0.24%
EM-13960,933.704,18,6,0.04%,102.296,0.04%
EM-14065,228.99,22,6,0.01%,40.1546,0.01%
EM-14095,1041.042,34,10,0.05%,240.2362,0.08%
EM-14140,4588.436,74,21,0.20%,1319.3655,0.46%
EM-14200,366.822,13,4,0.02%,21.7721,0.01%
EN-13780,2199.366,27,9,0.10%,496.1131,0.17%
EP-13915,5478.0608,124,31,0.24%,144.9578,0.05%
ER-13855,1245.788,27,5,0.05%,-295.7398,-0.10%
ES-14020,3510.458,31,8,0.15%,1003.2935,0.35%
ES-14080,4657.924,77,20,0.20%,246.6661,0.09%
FA-14230,2984.054,58,17,0.13%,520.5229,0.18%
FC-14245,3418.742,50,14,0.15%,1217.1662,0.42%
FC-14335,3889.366,37,10,0.17%,714.2926,0.25%
FG-14260,1383.144,48,11,0.06%,394.7397,0.14%
FH-14275,4256.272,65,21,0.19%,1073.2676,0.37%
FH-14350,2271.284,52,14,0.10%,706.289,0.25%
FH-14365,6987.196,52,13,0.30%,2050.2826,0.72%
FM-14215,2456.638,48,15,0.11%,249.6808,0.09%
FM-14290,3736.198,79,20,0.16%,198.1095,0.07%
FM-14380,2523.266,53,14,0.11%,191.4898,0.07%
FO-14305,2678.438,60,15,0.12%,215.5969,0.08%
FP-14320,4046.746,54,14,0.18%,406.4473,0.14%
FW-14395,79.75,9,3,0.00%,23.4913,0.01%
GA-14515,3919.776,48,14,0.17%,840.899,0.29%
GA-14725,1398.382,79,22,0.06%,136.7079,0.05%
GB-14530,1568.44,62,20,0.07%,7.8371,0.00%
GB-14575,4716.288,63,16,0.21%,1135.8393,0.40%
GD-14590,1888.07,25,6,0.08%,230.9373,0.08%
GG-14650,2224,92,24,0.10%,12.6985,0.00%
GH-14410,2819.467,65,17,0.12%,-576.8335,-0.20%
GH-14425,4172.846,51,10,0.18%,1176.4181,0.41%
GH-14485,1361.244,15,3,0.06%,-95.4498,-0.03%
GH-14665,146.9408,9,3,0.01%,-5.8102,0.00%
GK-14620,6497.27,66,14,0.28%,1448.5525,0.51%
GM-14440,3582.82,43,11,0.16%,347.266,0.12%
GM-14455,3078.624,54,12,0.13%,793.2814,0.28%
GM-14500,1255.682,53,13,0.05%,441.3185,0.15%
GM-14680,3163.628,31,11,0.14%,35.4865,0.01%
GM-14695,6049.966,44,11,0.26%,188.7235,0.07%
GP-14740,236.53,21,5,0.01%,31.8376,0.01%
GR-14560,1284.38,23,5,0.06%,359.8332,0.13%
GT-14635,9351.212,26,6,0.41%,-4108.6589,-1.43%
GT-14710,11820.12,106,29,0.51%,2163.4269,0.76%
GT-14755,226.436,23,7,0.01%,-6.1392,0.00%
GW-14605,2189.019,43,9,0.10%,-268.5423,-0.09%
GZ-14470,4355.15,48,14,0.19%,1087.7539,0.38%
GZ-14545,2454.622,25,5,0.11%,828.661,0.29%
HA-14905,2163.3,45,10,0.09%,270.8574,0.09%
HA-14920,2584.158,72,18,0.11%,99.1445,0.03%
HD-14785,251.36,31,7,0.01%,-135.876,-0.05%
HE-14800,883.532,44,11,0.04%,274.4028,0.10%
HF-14995,2533.164,70,19,0.11%,-13.8768,0.00%
HG-14845,785.628,31,10,0.03%,147.0032,0.05%
HG-14965,3247.642,68,17,0.14%,-2797.9635,-0.98%
HG-15025,3690.284,38,11,0.16%,804.6113,0.28%
HH-15010,218.668,20,6,0.01%,86.7342,0.03%
HJ-14875,358.1,21,6,0.02%,98.6548,0.03%
HK-14890,4877.784,64,15,0.21%,956.9451,0.33%
HL-15040,12873.298,50,11,0.56%,5622.4292,1.96%
HM-14860,8236.7648,76,20,0.36%,2437.9836,0.85%
HM-14980,736.276,29,7,0.03%,117.2755,0.04%
HP-14815,1990.314,44,10,0.09%,373.8637,0.13%
HR-14770,1299.288,38,13,0.06%,185.5794,0.06%
HR-14830,5248.787,51,14,0.23%,1196.9504,0.42%
HW-14935,9300.254,85,20,0.40%,2164.1611,0.76%
HZ-14950,886.52,21,6,0.04%,-130.3879,-0.05%
IG-15085,744.574,19,7,0.03%,320.4982,0.11%
IL-15100,5040.736,60,14,0.22%,1121.937,0.39%
IM-15055,2872.63,19,4,0.13%,975.7701,0.34%
IM-15070,4930.474,93,21,0.21%,514.6527,0.18%
JA-15970,6491.026,87,24,0.28%,-819.4217,-0.29%
JB-15400,1791.605,43,16,0.08%,156.0532,0.05%
JB-15925,900.552,32,8,0.04%,-286.9808,-0.10%
JB-16000,644.1188,32,7,0.03%,126.7649,0.04%
JB-16045,2518.115,32,9,0.11%,201.5185,0.07%
JC-15340,71.263,12,4,0.00%,-0.3556,0.00%
JC-15385,1058.108,14,4,0.05%,502.9244,0.18%
JC-15775,2772.055,64,16,0.12%,279.5692,0.10%
JC-16105,858.576,43,9,0.04%,201.5952,0.07%
JD-15790,2152.352,26,7,0.09%,-266.5525,-0.09%
JD-15895,7610.864,150,32,0.33%,1050.2668,0.37%
JD-16015,385.43,39,11,0.02%,26.7605,0.01%
JD-16060,695.442,17,6,0.03%,111.1141,0.04%
JD-16150,8828.0305,60,17,0.38%,1619.5199,0.57%
JE-15475,1388.682,49,13,0.06%,276.2197,0.10%
JE-15610,7754.976,74,20,0.34%,1623.4019,0.57%
JE-15715,8697.843,97,22,0.38%,1262.2926,0.44%
JE-15745,6760.815,90,23,0.29%,221.7967,0.08%
JE-16165,2697.248,34,7,0.12%,789.6476,0.28%
JF-15190,2279.586,72,19,0.10%,575.1259,0.20%
JF-15295,955.124,42,14,0.04%,97.289,0.03%
JF-15355,1911.844,58,16,0.08%,330.199,0.12%
JF-15415,2371.448,69,14,0.10%,635.6376,0.22%
JF-15490,1082.918,36,15,0.05%,-18.0673,-0.01%
JF-15565,4198.332,67,16,0.18%,1073.2088,0.37%
JG-15115,2358.676,20,7,0.10%,684.1911,0.24%
JG-15160,6366.392,70,18,0.28%,1415.6664,0.49%
JG-15310,2240.58,46,11,0.10%,3.7976,0.00%
JG-15805,1507.018,46,9,0.07%,206.1019,0.07%
JH-15430,309.281,29,7,0.01%,-24.0771,-0.01%
JH-15820,528.91,29,8,0.02%,26.0822,0.01%
JH-15910,959.477,35,9,0.04%,-13.5545,0.00%
JH-15985,7954.998,64,14,0.35%,-644.6982,-0.23%
JH-16180,2256.394,28,5,0.10%,-96.953,-0.03%
JJ-15445,709.178,25,6,0.03%,200.5558,0.07%
JJ-15760,195,11,3,0.01%,34.4492,0.01%
JK-15205,4427.142,67,13,0.19%,1219.983,0.43%
JK-15325,383.812,15,4,0.02%,55.3277,0.02%
JK-15370,2709.632,72,17,0.12%,330.2838,0.12%
JK-15625,3760.028,44,12,0.16%,750.9485,0.26%
JK-15640,4760.434,41,12,0.21%,1172.5303,0.41%
JK-15730,4867.2,88,20,0.21%,55.0483,0.02%
JK-16090,3747.668,43,9,0.16%,586.6625,0.20%
JK-16120,2932.484,49,17,0.13%,122.6566,0.04%
JL-15130,1214.956,42,12,0.05%,-207.7956,-0.07%
JL-15175,1571.523,29,7,0.07%,209.2817,0.07%
JL-15235,2203.7,39,10,0.10%,54.5174,0.02%
JL-15505,3173.874,56,17,0.14%,591.7163,0.21%
JL-15835,9799.923,143,34,0.43%,228.907,0.08%
JL-15850,2725.256,38,11,0.12%,779.9046,0.27%
JM-15250,3159.122,91,19,0.14%,19.8235,0.01%
JM-15265,1804.146,52,13,0.08%,502.6143,0.18%
JM-15535,1733.443,46,10,0.08%,356.5395,0.12%
JM-15580,303.948,26,7,0.01%,113.1204,0.04%
JM-15655,864.947,41,12,0.04%,117.204,0.04%
JM-15865,7625.076,50,13,0.33%,1574.6164,0.55%
JM-16195,2833.926,74,19,0.12%,754.1144,0.26%
